prospect_no,loan_disb_date,asset_cost,disb_amt,down_payment,roi,age,is_exist_cust,dist_from_off,is_expat,children,earning_members,yrs_in_curr_resi,source_type,marital_status,gender,applicant_type,locality,accommodation_type,current_residence,veh_own,foir,tenure,vin_in_business,ltv,target,random
1,21-11-2015,1467032,1100274,366758,16,48,0,29,0,1,4,8,channel,Married,Male,Individual,Middle Class,Apartment,Owned,2,40,240,28,75,0,0.622896287
2,05-11-2015,1113349,734810,378539,15,50,0,11,1,3,3,5,direct,Single,Male,Co-App,Below Avg,Villa,Rented,1,41,132,21,66,0,0.107378394
3,01-12-2015,1660092,979454,680638,14,45,0,53,1,7,2,5,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,34,156,50,59,0,0.110077944
4,06-10-2015,1061768,902503,159265,14,49,0,8,1,2,2,4,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,41,120,19,85,0,0.14484809
5,31-01-2015,1212534,836648,375886,19,36,0,48,0,1,1,5,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,45,108,75,69,0,0.266234251
6,25-07-2015,1585311,967040,618271,20,45,0,40,0,3,3,7,channel,Single,Male,Co-App,Below Avg,Villa,Rented,1,45,96,32,61,0,0.703857374
7,12-10-2015,1423261,1238237,185024,15,46,1,46,0,0,2,3,direct,Single,Female,Individual,Posh,Townhouses,Relatives,0,29,72,57,87,0,0.244595581
8,06-10-2015,1645126,1036429,608697,12,49,0,57,1,4,2,6,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,35,144,37,63,0,0.840973329
9,13-01-2015,804305,434325,369980,12,45,0,10,1,7,1,2,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,57,192,41,54,0,0.328377688
10,13-02-2015,1139516,786266,353250,10,60,0,2,0,3,3,8,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,43,180,11,69,0,0.209195987
11,22-11-2015,1755782,772544,983238,20,38,0,6,0,2,1,9,direct,Married,Male,Individual,Below Avg,Villa,Rented,2,45,180,78,44,0,0.256233564
12,29-07-2015,1003987,471874,532113,15,46,1,25,0,0,1,2,direct,Single,Male,Co-App,Above Avg,Townhouses,Relatives,1,45,156,54,47,0,0.914424953
13,19-06-2015,1506340,1174945,331395,14,45,1,46,0,6,2,5,channel,Married,Male,Individual,Below Avg,Apartment,Owned,2,41,72,63,78,0,0.940971314
14,01-11-2015,1267649,1115531,152118,12,57,0,9,0,1,4,18,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,156,38,88,0,0.200134425
15,07-03-2015,1360061,856838,503223,16,50,0,23,1,3,4,7,direct,Married,Male,Individual,Middle Class,Apartment,Owned,2,43,144,26,63,0,0.323870212
